Date,Dividends,Stock Splits,name
2026-03-06 00:00:00+05:30,1.95,0.0,Bharat Electronics Ltd.
2009-07-24 00:00:00+05:30,0.901257,2.0,Bharti Airtel Ltd.
2010-08-18 00:00:00+05:30,0.901257,0.0,Bharti Airtel Ltd.
2011-08-17 00:00:00+05:30,0.901257,0.0,Bharti Airtel Ltd.
2012-08-16 00:00:00+05:30,0.901257,0.0,Bharti Airtel Ltd.
2013-05-23 00:00:00+05:30,0.901257,0.0,Bharti Airtel Ltd.
2014-08-21 00:00:00+05:30,3.091312,0.0,Bharti Airtel Ltd.
2015-08-13 00:00:00+05:30,2.000791,0.0,Bharti Airtel Ltd.
2016-08-11 00:00:00+05:30,1.22571,0.0,Bharti Airtel Ltd.
2017-07-13 00:00:00+05:30,0.901257,0.0,Bharti Airtel Ltd.
2018-01-30 00:00:00+05:30,2.559571,0.0,Bharti Airtel Ltd.
2018-08-02 00:00:00+05:30,2.253143,0.0,Bharti Airtel Ltd.
2018-11-05 00:00:00+05:30,2.253143,0.0,Bharti Airtel Ltd.
2020-08-06 00:00:00+05:30,1.963142,0.0,Bharti Airtel Ltd.
2022-08-01 00:00:00+05:30,3.0,0.0,Bharti Airtel Ltd.
2023-08-11 00:00:00+05:30,4.0,0.0,Bharti Airtel Ltd.
2024-08-07 00:00:00+05:30,8.0,0.0,Bharti Airtel Ltd.
2025-07-18 00:00:00+05:30,16.0,0.0,Bharti Airtel Ltd.
1997-07-28 00:00:00+05:30,0.093333,0.0,Cipla Ltd.
1998-08-05 00:00:00+05:30,0.146667,0.0,Cipla Ltd.
1999-07-26 00:00:00+05:30,0.2,0.0,Cipla Ltd.
1999-10-18 00:00:00+05:30,0.0,3.0,Cipla Ltd.
2000-04-03 00:00:00+05:30,0.44,0.0,Cipla Ltd.
2001-08-06 00:00:00+05:30,0.36,0.0,Cipla Ltd.
2002-08-14 00:00:00+05:30,0.56,0.0,Cipla Ltd.
2003-08-22 00:00:00+05:30,0.8,0.0,Cipla Ltd.
2004-05-11 00:00:00+05:30,0.0,5.0,Cipla Ltd.
2004-08-19 00:00:00+05:30,1.2,0.0,Cipla Ltd.
2005-08-19 00:00:00+05:30,1.4,0.0,Cipla Ltd.
2006-04-24 00:00:00+05:30,0.0,2.5,Cipla Ltd.
2006-08-18 00:00:00+05:30,2.0,0.0,Cipla Ltd.
2007-08-08 00:00:00+05:30,2.0,0.0,Cipla Ltd.
2008-08-12 00:00:00+05:30,2.0,0.0,Cipla Ltd.
2009-08-10 00:00:00+05:30,2.0,0.0,Cipla Ltd.
2010-07-23 00:00:00+05:30,2.0,0.0,Cipla Ltd.
2010-09-03 00:00:00+05:30,0.8,0.0,Cipla Ltd.
2011-08-09 00:00:00+05:30,2.0,0.0,Cipla Ltd.
2012-08-01 00:00:00+05:30,2.0,0.0,Cipla Ltd.
2013-08-06 00:00:00+05:30,2.0,0.0,Cipla Ltd.
2014-08-06 00:00:00+05:30,2.0,0.0,Cipla Ltd.
2015-08-11 00:00:00+05:30,2.0,0.0,Cipla Ltd.
2016-09-12 00:00:00+05:30,2.0,0.0,Cipla Ltd.
2017-07-26 00:00:00+05:30,2.0,0.0,Cipla Ltd.
2018-08-13 00:00:00+05:30,3.0,0.0,Cipla Ltd.
2019-07-31 00:00:00+05:30,3.0,0.0,Cipla Ltd.
2020-03-19 00:00:00+05:30,4.0,0.0,Cipla Ltd.
2021-08-09 00:00:00+05:30,5.0,0.0,Cipla Ltd.
2022-08-08 00:00:00+05:30,5.0,0.0,Cipla Ltd.
2023-07-21 00:00:00+05:30,8.5,0.0,Cipla Ltd.
2024-08-02 00:00:00+05:30,13.0,0.0,Cipla Ltd.
2025-06-27 00:00:00+05:30,16.0,0.0,Cipla Ltd.
2011-02-18 00:00:00+05:30,3.5,0.0,Coal India Ltd.
2011-09-08 00:00:00+05:30,0.4,0.0,Coal India Ltd.
2012-03-15 00:00:00+05:30,9.5,0.0,Coal India Ltd.
2012-09-06 00:00:00+05:30,0.5,0.0,Coal India Ltd.
2013-03-18 00:00:00+05:30,9.7,0.0,Coal India Ltd.
2013-09-06 00:00:00+05:30,4.3,0.0,Coal India Ltd.
2014-01-17 00:00:00+05:30,29.0,0.0,Coal India Ltd.
2015-03-03 00:00:00+05:30,20.7,0.0,Coal India Ltd.
2016-03-14 00:00:00+05:30,27.4,0.0,Coal India Ltd.
2017-03-14 00:00:00+05:30,18.75,0.0,Coal India Ltd.
2018-03-16 00:00:00+05:30,16.5,0.0,Coal India Ltd.
2018-12-28 00:00:00+05:30,7.25,0.0,Coal India Ltd.
2019-03-22 00:00:00+05:30,5.85,0.0,Coal India Ltd.
2020-03-19 00:00:00+05:30,12.0,0.0,Coal India Ltd.
2020-11-19 00:00:00+05:30,7.5,0.0,Coal India Ltd.
2021-03-15 00:00:00+05:30,5.0,0.0,Coal India Ltd.
2021-09-02 00:00:00+05:30,3.5,0.0,Coal India Ltd.
2021-12-06 00:00:00+05:30,9.0,0.0,Coal India Ltd.
2022-02-21 00:00:00+05:30,5.0,0.0,Coal India Ltd.
2022-08-11 00:00:00+05:30,3.0,0.0,Coal India Ltd.
2022-11-15 00:00:00+05:30,15.0,0.0,Coal India Ltd.
2023-02-08 00:00:00+05:30,5.25,0.0,Coal India Ltd.
2023-08-18 00:00:00+05:30,4.0,0.0,Coal India Ltd.
2023-11-21 00:00:00+05:30,15.25,0.0,Coal India Ltd.
2024-02-20 00:00:00+05:30,5.25,0.0,Coal India Ltd.
2024-08-16 00:00:00+05:30,5.0,0.0,Coal India Ltd.
2024-11-05 00:00:00+05:30,15.75,0.0,Coal India Ltd.
